"default","The error can not be further identified!"
"lwmvc_1","Please enter a valid e-mail address."
"lwmvc_2","Maximum input length exceeded, please enter a maximum of {_maxlength_} characters."
"lwmvc_3","Please enter a minimum of {_minlength_} characters."
"lwmvc_4","Please fill out this field."
"lwmvc_5","Only letters or numbers may be entered."
"lwmvc_6","The entered input lies outside the valid range."
"lwmvc_7","Only whole numbers may be used."
"lwmvc_8","The entered value is too small."
"lwmvc_9","The entered value is too large."
"lwmvc_10","Only whole numbers may be entered."
"lwmvc_11","Please select a valid file."
"lwmvc_12","Please select an image file."
"lwmvc_13","Please enter a valid date."
"lwmvc_14","An unknown error has occured."
"lwmvc_15","Only the numbers 1 or 0 may be entered."
"lwmvc_16","The order of the dates entered is not valid."
